"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072001","renal system development","205/5723","336/18805",0.610119047619048,2.00476824925322,12.2917515314418,1.67063110716233e-31,1.05299878684442e-27,8.43229069351933e-28,"FOXC2/FOXD1/FOXC1/WWTR1/PDGFRB/LAMB2/FBN1/YAP1/BICC1/ID3/SERPINF1/SIX1/SULF1/EDNRA/NOTCH3/KANK2/NPNT/COL4A1/JAG1/SULF2/BMP4/SLIT2/NID1/SOX4/MYC/PBX1/PRICKLE1/GLIS2/SFRP1/FGFR1/EXT1/MAGED1/HES1/WNT6/PTK7/ENPEP/SMAD3/PLCE1/TGFB2/NFIA/GFRA1/EYA1/SIX2/MME/ADAMTS6/TNS2/SOX11/ACTA2/EFNB2/CDKN1C/ARL3/PYGO1/ASS1/DCHS1/ITGA3/ADAMTS1/ADAMTS16/GLI3/KCNJ8/NOTCH2/LAMA5/EPHA7/SMAD5/WNT5A/IFT20/FRAS1/FGF2/CEP290/IRX3/PKD2/NF1/SOX9/PKD1/HS3ST3A1/VEGFA/HS3ST3B1/SIX4/DYNC2H1/ILK/GDF11/TBX18/STRA6/NOG/WFS1/SMO/HEYL/IRX2/C1orf54/VANGL2/DLG5/ACAT1/PDGFA/ACVR2B/TRAF3IP1/NRP1/AGT/RARB/TTC8/SDC4/SEC61A1/LGR4/PDGFD/ODC1/OSR1/MPV17/HYAL2/RDH10/EPHA4/SMAD6/PCSK5/GLI2/CYP26B1/MAGI2/CC2D2A/SMAD2/SMAD7/MYO1E/EGR1/PROM1/KIF26B/GDNF/GCNT1/PDGFRA/NPHP3/MPST/ANGPT2/HS2ST1/WNK4/ANGPT1/CD24/COMT/RARA/SNX17/GREM1/GPC3/RPGRIP1L/EMX2/BMP2/SMAD4/HOXB7/CTNNB1/CTNNBIP1/GPR4/TSC1/SDC1/PTCH1/BMP6/HAS2/APH1A/ARID5B/BMPER/HOXD11/LIF/CRLF1/FLCN/FADD/TIPARP/KLF15/TEK/MMP17/OSR2/GDF6/PODXL/CD2AP/TBC1D32/TMEM59L/IFT88/ANKS6/ZBTB16/DACT2/WNT7B/SMAD1/CALB1/RBP4/TRAF3IP2/TFAP2A/ROBO2/PTCD2/WNT11/IFT27/PYGO2/EDN1/INVS/IQGAP1/FREM2/NLE1/GCNT4/LHX1/DCHS2/PAX2/HOXA11/DLL1/PAX8/MYOCD/WT1/CYP26A1/AQP11/HNF1B/AGTR1/HOXC11/FOXF1/ITGB3/MMP9/ITGA8/KLHL3",205
"GO:0045229","external encapsulating structure organization","204/5723","341/18805",0.598240469208211,1.96573685540109,11.9034546380777,1.05022008808341e-29,2.53552978825948e-26,2.03042249466908e-26,"COL6A1/COL1A2/COL1A1/COL3A1/AEBP1/EFEMP2/FOXC2/COL5A2/SERPINH1/FOXC1/CCDC80/LAMB2/PLOD2/LAMC1/LAMB1/OLFML2A/FKBP10/FBLN1/COL11A1/ANTXR1/DDR2/THSD4/COL8A1/COL5A1/CTSK/CYP1B1/SULF1/LOX/PXDN/COL4A2/NPNT/COL4A1/EMILIN1/SULF2/PRDX4/ANXA2/EGFL6/ADAMTSL3/NID1/MFAP4/MMP2/PHLDB2/ABI3BP/EGFLAM/LRP1/LTBP4/LOXL2/PRICKLE1/FMOD/LUM/ECM2/SMOC2/EXT1/NID2/SFRP2/FBLN5/FLRT2/RAMP2/APP/TNFRSF11B/P4HA1/CAV1/BMP1/ELN/CAV2/SMAD3/P3H4/TGFB2/CRTAP/COL18A1/ITGB1/NDNF/LOXL1/COL12A1/COL7A1/SMOC1/ADAMTS6/COL16A1/MMP16/TNXB/RECK/COL8A2/PLOD1/DAG1/COL9A3/ADAMTS1/ADAMTS16/COL5A3/ADAMTS2/COL2A1/MMP14/HMCN1/NTN4/ADAMTS7/OLFML2B/PTX3/SLC2A10/PRDM5/CREB3L1/ABL1/NF1/SOX9/POSTN/APBB2/TNFRSF1A/COL14A1/GAS6/ADAMTS12/COL27A1/MMP11/PBXIP1/VTN/ERO1A/TGFBI/TGM1/AGT/CRISPLD2/MATN3/ADAMTSL1/ADAMTS9/MPV17/LAMA2/ZNF469/MMP23B/HSD17B12/SCX/PAPLN/MYO1E/MATN2/KLK7/ST7/PDGFRA/NPHP3/POMT1/TGFBR3/FOXF2/DPT/PLOD3/FAP/COL13A1/GREM1/RIC8A/BMP2/SMAD4/ENG/IER3IP1/MMP28/IL6/RIC1/HAS2/KIF9/ADAMTS4/AXIN2/SPINT2/MMP17/COL23A1/ERCC2/MMP13/VIT/MATN4/PDPN/MMP7/COL15A1/CTSV/ADAMTS3/IBSP/PPARG/CLASP1/LAMA1/ADAMTS10/QSOX1/ADAMTS13/GAS2/MYH11/MIA/MMP24/TMEM38B/TCF15/TLL1/COL24A1/P4HA3/IMPG2/COL11A2/LARGE1/ADAMTS15/WT1/ADAMTS18/ELF3/LOXL4/ADAMTSL5/FKRP/COLQ/COL22A1/MMP15/ADAMTS17/VPS33B/KAZALD1/FOXF1/ITGB3/ADAMTS14/MMP9/COL10A1/ITGA8/ADAMTS5",204
"GO:0030198","extracellular matrix organization","203/5723","339/18805",0.59882005899705,1.96764130865622,11.8912567270812,1.20682046085649e-29,2.53552978825948e-26,2.03042249466908e-26,"COL6A1/COL1A2/COL1A1/COL3A1/AEBP1/EFEMP2/FOXC2/COL5A2/SERPINH1/FOXC1/CCDC80/LAMB2/PLOD2/LAMC1/LAMB1/OLFML2A/FKBP10/FBLN1/COL11A1/ANTXR1/DDR2/THSD4/COL8A1/COL5A1/CTSK/CYP1B1/SULF1/LOX/PXDN/COL4A2/NPNT/COL4A1/EMILIN1/SULF2/PRDX4/ANXA2/EGFL6/ADAMTSL3/NID1/MFAP4/MMP2/PHLDB2/ABI3BP/EGFLAM/LRP1/LTBP4/LOXL2/PRICKLE1/FMOD/LUM/ECM2/SMOC2/EXT1/NID2/SFRP2/FBLN5/FLRT2/RAMP2/APP/TNFRSF11B/P4HA1/CAV1/BMP1/ELN/CAV2/SMAD3/P3H4/TGFB2/CRTAP/COL18A1/ITGB1/NDNF/LOXL1/COL12A1/COL7A1/SMOC1/ADAMTS6/COL16A1/MMP16/TNXB/RECK/COL8A2/PLOD1/DAG1/COL9A3/ADAMTS1/ADAMTS16/COL5A3/ADAMTS2/COL2A1/MMP14/HMCN1/NTN4/ADAMTS7/OLFML2B/PTX3/SLC2A10/PRDM5/CREB3L1/ABL1/NF1/SOX9/POSTN/APBB2/TNFRSF1A/COL14A1/GAS6/ADAMTS12/COL27A1/MMP11/PBXIP1/VTN/ERO1A/TGFBI/AGT/CRISPLD2/MATN3/ADAMTSL1/ADAMTS9/MPV17/LAMA2/ZNF469/MMP23B/HSD17B12/SCX/PAPLN/MYO1E/MATN2/KLK7/ST7/PDGFRA/NPHP3/POMT1/TGFBR3/FOXF2/DPT/PLOD3/FAP/COL13A1/GREM1/RIC8A/BMP2/SMAD4/ENG/IER3IP1/MMP28/IL6/RIC1/HAS2/KIF9/ADAMTS4/AXIN2/SPINT2/MMP17/COL23A1/ERCC2/MMP13/VIT/MATN4/PDPN/MMP7/COL15A1/CTSV/ADAMTS3/IBSP/PPARG/CLASP1/LAMA1/ADAMTS10/QSOX1/ADAMTS13/GAS2/MYH11/MIA/MMP24/TMEM38B/TCF15/TLL1/COL24A1/P4HA3/IMPG2/COL11A2/LARGE1/ADAMTS15/WT1/ADAMTS18/ELF3/LOXL4/ADAMTSL5/FKRP/COLQ/COL22A1/MMP15/ADAMTS17/VPS33B/KAZALD1/FOXF1/ITGB3/ADAMTS14/MMP9/COL10A1/ITGA8/ADAMTS5",203
"GO:0043062","extracellular structure organization","203/5723","340/18805",0.597058823529412,1.96185412833664,11.8378801213188,2.10587936575194e-29,3.31833941058362e-26,2.65728725231067e-26,"COL6A1/COL1A2/COL1A1/COL3A1/AEBP1/EFEMP2/FOXC2/COL5A2/SERPINH1/FOXC1/CCDC80/LAMB2/PLOD2/LAMC1/LAMB1/OLFML2A/FKBP10/FBLN1/COL11A1/ANTXR1/DDR2/THSD4/COL8A1/COL5A1/CTSK/CYP1B1/SULF1/LOX/PXDN/COL4A2/NPNT/COL4A1/EMILIN1/SULF2/PRDX4/ANXA2/EGFL6/ADAMTSL3/NID1/MFAP4/MMP2/PHLDB2/ABI3BP/EGFLAM/LRP1/LTBP4/LOXL2/PRICKLE1/FMOD/LUM/ECM2/SMOC2/EXT1/NID2/SFRP2/FBLN5/FLRT2/RAMP2/APP/TNFRSF11B/P4HA1/CAV1/BMP1/ELN/CAV2/SMAD3/P3H4/TGFB2/CRTAP/COL18A1/ITGB1/NDNF/LOXL1/COL12A1/COL7A1/SMOC1/ADAMTS6/COL16A1/MMP16/TNXB/RECK/COL8A2/PLOD1/DAG1/COL9A3/ADAMTS1/ADAMTS16/COL5A3/ADAMTS2/COL2A1/MMP14/HMCN1/NTN4/ADAMTS7/OLFML2B/PTX3/SLC2A10/PRDM5/CREB3L1/ABL1/NF1/SOX9/POSTN/APBB2/TNFRSF1A/COL14A1/GAS6/ADAMTS12/COL27A1/MMP11/PBXIP1/VTN/ERO1A/TGFBI/AGT/CRISPLD2/MATN3/ADAMTSL1/ADAMTS9/MPV17/LAMA2/ZNF469/MMP23B/HSD17B12/SCX/PAPLN/MYO1E/MATN2/KLK7/ST7/PDGFRA/NPHP3/POMT1/TGFBR3/FOXF2/DPT/PLOD3/FAP/COL13A1/GREM1/RIC8A/BMP2/SMAD4/ENG/IER3IP1/MMP28/IL6/RIC1/HAS2/KIF9/ADAMTS4/AXIN2/SPINT2/MMP17/COL23A1/ERCC2/MMP13/VIT/MATN4/PDPN/MMP7/COL15A1/CTSV/ADAMTS3/IBSP/PPARG/CLASP1/LAMA1/ADAMTS10/QSOX1/ADAMTS13/GAS2/MYH11/MIA/MMP24/TMEM38B/TCF15/TLL1/COL24A1/P4HA3/IMPG2/COL11A2/LARGE1/ADAMTS15/WT1/ADAMTS18/ELF3/LOXL4/ADAMTSL5/FKRP/COLQ/COL22A1/MMP15/ADAMTS17/VPS33B/KAZALD1/FOXF1/ITGB3/ADAMTS14/MMP9/COL10A1/ITGA8/ADAMTS5",203
"GO:0001822","kidney development","195/5723","325/18805",0.6,1.97151843438756,11.685348375096,1.11708487184345e-28,1.40819718944585e-25,1.12766778115565e-25,"FOXC2/FOXD1/FOXC1/WWTR1/PDGFRB/LAMB2/FBN1/YAP1/BICC1/ID3/SERPINF1/SIX1/SULF1/EDNRA/NOTCH3/KANK2/NPNT/JAG1/SULF2/BMP4/SLIT2/NID1/SOX4/MYC/PBX1/GLIS2/SFRP1/FGFR1/EXT1/MAGED1/HES1/WNT6/PTK7/ENPEP/SMAD3/PLCE1/TGFB2/GFRA1/EYA1/SIX2/MME/ADAMTS6/TNS2/SOX11/ACTA2/EFNB2/CDKN1C/ARL3/PYGO1/ASS1/DCHS1/ITGA3/ADAMTS1/ADAMTS16/GLI3/KCNJ8/NOTCH2/LAMA5/EPHA7/SMAD5/WNT5A/IFT20/FRAS1/FGF2/CEP290/IRX3/PKD2/NF1/SOX9/PKD1/HS3ST3A1/VEGFA/HS3ST3B1/SIX4/DYNC2H1/ILK/GDF11/STRA6/NOG/WFS1/SMO/HEYL/IRX2/VANGL2/DLG5/ACAT1/PDGFA/ACVR2B/TRAF3IP1/NRP1/AGT/RARB/SDC4/SEC61A1/LGR4/PDGFD/ODC1/OSR1/MPV17/HYAL2/RDH10/EPHA4/SMAD6/PCSK5/GLI2/CYP26B1/MAGI2/CC2D2A/SMAD2/SMAD7/MYO1E/EGR1/PROM1/KIF26B/GDNF/GCNT1/PDGFRA/NPHP3/MPST/ANGPT2/HS2ST1/WNK4/ANGPT1/CD24/COMT/RARA/SNX17/GREM1/GPC3/RPGRIP1L/BMP2/SMAD4/HOXB7/CTNNB1/CTNNBIP1/GPR4/TSC1/SDC1/PTCH1/BMP6/HAS2/APH1A/ARID5B/BMPER/HOXD11/LIF/CRLF1/FLCN/FADD/TIPARP/KLF15/TEK/MMP17/OSR2/GDF6/PODXL/CD2AP/TBC1D32/TMEM59L/IFT88/ANKS6/ZBTB16/DACT2/WNT7B/SMAD1/CALB1/TRAF3IP2/TFAP2A/ROBO2/PTCD2/WNT11/IFT27/PYGO2/EDN1/INVS/IQGAP1/FREM2/NLE1/GCNT4/LHX1/DCHS2/PAX2/HOXA11/DLL1/PAX8/WT1/CYP26A1/AQP11/HNF1B/AGTR1/HOXC11/ITGB3/MMP9/ITGA8/KLHL3",195
"GO:0048568","embryonic organ development","239/5723","457/18805",0.522975929978118,1.71842781115473,10.2836382778641,5.70360401325539e-23,5.99163601592478e-20,4.79803179711572e-20,"TWIST1/SPARC/FOXC2/FOXC1/NR2F2/EFEMP1/RARRES2/FBN1/GJA1/YAP1/COL11A1/ZEB1/ID3/MSX1/FRZB/EGFR/SIX1/EDNRA/PRRX1/MFAP5/BMP4/TEAD1/PBX1/PRICKLE1/ZIC1/TBX15/FGFR1/EPAS1/HES1/BMP5/PTK7/SMAD3/FBN2/MFAP2/TGFB2/EYA1/PCGF2/FZD2/SIX2/LRIG3/KRT19/PHLDA2/CTHRC1/INSIG2/PBX3/MDFI/PLCD3/SOX11/MMP16/ACVR1/FZD3/CDKN1C/PLXNA4/GJB6/PPP1R13L/PKDCC/GLI3/RSPO3/NECTIN3/NTN1/NOTCH2/COL2A1/MMP14/IFT57/TBX2/WNT5A/BMPR1A/FZD6/TGFB3/CLUAP1/CEP290/HOXB9/PKD2/SOX9/PKD1/DLX5/ALX4/IFT52/VEGFA/SIX4/RPL10/TBX3/DVL1/KRT8/MICAL2/ECE1/TEAD3/TMED2/SCT/RUNX2/FRS2/FGF9/TULP3/EGLN1/TBX18/TEAD2/ADM/SOCS3/STRA6/NOG/SMO/MIB1/HOXA4/ARL13B/MYO6/EN1/KITLG/VANGL2/PDGFA/RARB/EPHA2/SOBP/MEGF8/OSR1/FOXG1/DVL2/RDH10/RNF207/PCSK5/GLI2/RBPMS2/CC2D2A/SMAD2/REST/IRX5/WNT2/KMT2A/NES/MESP1/TSHZ1/GDNF/PDGFRA/AKT1/UTP25/FBXW8/NPHP3/ZFPM1/PRKRA/FOXF2/LEF1/FOLR1/SLC39A1/MED12/RBBP6/ARNT/RARA/BPTF/ATP8A2/MED1/ENG/HOXA3/TBC1D23/NAGLU/HOXB7/HOXB3/SETD2/CTNNB1/EPN1/PTCH1/WDR19/HEY1/TRIM28/HOXD11/LIF/IFT140/HOXC4/SLC39A3/TRIOBP/SPINT2/HOXB2/OSR2/ERCC2/ALX3/CITED2/GLI1/STK3/EFNA1/HOXC9/PAX6/CDH23/BBS5/WNT7B/KDM2B/ERCC3/MTHFD1L/MAP2K1/SRF/IFT172/SCRIB/RARG/RBP4/NSDHL/SHOX2/BBS7/TFAP2A/WNT11/TP53/EDN1/BLOC1S5/ZFPM2/HOXD10/FOXL2/CDK20/TBX1/WNT16/E2F7/FLVCR1/CCDC40/VASH2/TEAD4/MKS1/POLE/NKX2-5/MKKS/ZNF568/TCAP/HYAL1/LHX1/TH/PAX2/HOXA11/IFT122/DLL1/PAX8/MYO15A/STOX1/HOXB4/GATA4/HNF1B/HOXC11/OTX1/HOXB8/HOXA1/FOXF1/SLITRK6/PITX2/ITGA8/ALDH1A3/HOXA2",239
"GO:0016055","Wnt signaling pathway","246/5723","477/18805",0.515723270440252,1.69459655785933,10.163287240734,1.60852296347297e-22,1.44836003411002e-19,1.15982971576735e-19,"IGFBP2/COL6A1/COL1A1/SNAI2/FOXD1/DKK3/WWTR1/CCND1/YAP1/IGFBP6/BICC1/CPE/FRZB/EGFR/SULF1/EDNRA/FZD7/IGFBP4/TGFB1I1/MDK/SULF2/TCF7L1/ADGRA2/SOX4/LRP1/PRICKLE1/TPBG/SFRP1/EXT1/SFRP2/WNT6/APP/FERMT2/CAV1/PTK7/DACT1/VGLL4/SMAD3/RBMS3/GPC4/PLEKHA4/DKK2/TMEM64/CDH2/TLE1/AMOTL2/PTPRU/FZD2/RACK1/ROR1/SFRP4/TLE2/LRP6/CTHRC1/MDFI/TRABD2B/SPIN1/RECK/FZD3/LATS2/RYK/PYGO1/ITGA3/BARX1/TMEM9/HIC1/GLI3/RSPO3/FZD1/RAC3/WLS/CDK14/TSKU/NXN/AMOTL1/NFATC4/WNT5A/PORCN/FZD6/IFT20/TMEM132A/SEMA5A/TCF7L2/FGF2/ABL1/CALCOCO1/PKD2/SOX9/PKD1/DLX5/PRICKLE2/SHISA2/ZNF703/MESD/DVL1/BCL9L/CAPRIN2/ILK/CELSR1/FGF9/LRP5/FZD4/TMEM237/LRRFIP2/DDB1/DVL3/PBXIP1/TBX18/NOG/DAB2IP/PRKAA2/CTDNEP1/CSNK2A2/FOXO1/CSNK1G3/BAMBI/VANGL2/ADNP/ATP6AP2/WNT5B/ZNRF3/GRB10/FOXL1/ROR2/LGR4/FOXO3/MLLT3/USP34/SMARCA4/CBY1/KLF4/SIAH1/APCDD1L/AMFR/ZRANB1/DVL2/GID8/VANGL1/MAGI2/BBS4/UBR5/SMAD7/EMD/JUP/STK11/CSNK2A1/DAPK3/XIAP/WNT2/EGR1/TBL1X/GSK3B/MESP1/NPHP3/DIXDC1/GSK3A/LEF1/SMURF1/FOLR1/MDFIC/MED12/TAX1BP3/CD24/RTF1/VCP/TNIK/CSNK1E/GREM1/GPC3/BMP2/SMAD4/MCC/CDH3/USP47/PPP2R3A/CSNK1G1/RNF146/CTNNB1/CTNNBIP1/APCDD1/PRKAA1/SDC1/LMBR1L/TMEM67/GRK5/SMURF2/TSC2/FZD8/DKK1/SCYL2/AXIN2/SRC/TMEM198/DACT3/KLF15/TBL1XR1/GLI1/STK3/AXIN1/SHISA6/JRK/FZD10/G3BP1/KREMEN1/MARK1/PTEN/WNT3/WNT7B/NKD2/ANKRD6/TRPM4/RARG/BCL9/ZBTB33/RNF14/WNT11/PYGO2/ARHGEF19/EDN1/APOE/ETV2/DCDC2/INVS/RPS12/WNT16/MKS1/WNT9A/NKX2-5/NLE1/SFRP5/TTC21B/BTRC/SCEL/LINC00941/DRD2/ARL6/HECW1/CCNYL1/TNN/LBX2/LYPD6/HNF1B/SPIN4/CPZ/NOTUM/SOX13",246
"GO:0007389","pattern specification process","244/5723","476/18805",0.512605042016807,1.68435048316024,10.0025928344811,6.93351201130954e-22,5.46274077591051e-19,4.37449869660911e-19,"FOXC2/FOXD1/FOXC1/NR2F2/GJA1/BICC1/ZEB1/MSX1/SIX1/BMP4/PBX1/PRICKLE1/ZIC1/NBL1/ASPH/SFRP1/FGFR1/EXT1/MEOX2/HES1/SFRP2/WNT6/BMP5/HES4/BMPR2/BMP1/SMAD3/MEIS3/CDON/ENKUR/EYA1/PCGF2/SIX2/TCTN1/BMPR1B/PBX3/MDFI/DPCD/ACVR1/DCHS1/BARX1/SEMA3C/GLI3/PLXNA2/NOTCH2/WLS/LAMA5/IFT57/CHSY1/TBX2/SMAD5/WNT5A/MID1/BMPR1A/GPR161/MSX2/SMARCD3/FGF2/CLUAP1/HOXB9/IRX3/PKD2/ALX4/IFT52/DYNC2H1/TBX3/PRKDC/DVL1/MICAL2/CAPRIN2/SHROOM3/KIF3B/TMED2/GDF11/DYNC2LI1/FRS2/EFNB1/LRP5/TULP3/EPB41L5/TBX18/NOG/RFNG/SMO/MIB1/MOSMO/HOXA4/HEYL/ARL13B/IRX2/EN1/GALNT11/VANGL2/ACVR2B/ATP6AP2/NRP1/PGAP1/TTC8/INTU/POFUT1/MLLT3/ALG5/MEGF8/BHLHE40/OSR1/DLL3/FOXG1/IFT74/DVL2/RNF207/SMAD6/PCSK5/GLI2/CYP26B1/CC2D2A/GRSF1/NRP2/SMAD2/SEMA3F/DNAAF4/WNT2/KMT2A/MESP1/TSHZ1/MEIS2/GDNF/NPHP3/LEF1/FOLR1/SYNGAP1/MED12/BPTF/GREM1/GPC3/RPGRIP1L/EMX2/FKBP8/BMP2/SMAD4/ENG/PPP2R3A/HOXA3/HOXA10/HOXB7/HOXB3/CTNNB1/CTNNBIP1/DISP1/PTCH1/WDR19/TP63/ACVR2A/HEY1/DKK1/NCLN/ROBO1/HOXD11/AXIN2/IFT140/HOXC4/ACVRL1/CHRD/HOXB2/NME7/OSR2/ALX3/TDRD1/CITED2/CRAMP1/GLI1/AXIN1/SSBP3/TBC1D32/YY1/HOXC9/PAX6/ANKS6/ZBTB16/BBS5/WNT3/WNT7B/DMRTA2/KDM2B/SMAD1/SRF/IFT172/BCOR/RARG/BBS7/ROBO2/HOXC6/FST/WNT11/TP53/EDN1/LEFTY1/HOXD10/RFX3/HOXC5/PSKH1/DNAAF2/TBX1/GAS8/CCDC40/NEK8/MKS1/CDX1/HOXC8/NKX2-5/NLE1/MEOX1/TCF15/MKKS/SIM2/DZIP1L/TCAP/TLL1/TTC21B/LHX1/PAX2/HOXA11/HOXD8/PLD6/IFT122/HOXC13/DLL1/RELN/PAX8/ARL6/DNAH11/WT1/HOXB4/LHX2/GATA4/MNS1/HNF1B/HOXC11/OTX1/HOXB8/FOXF1/PITX2/NRG3/HOXA2/CFAP53",244
"GO:0061448","connective tissue development","165/5723","291/18805",0.56701030927835,1.86311879538343,9.81447019732199,7.59307806925603e-21,5.31768567450231e-18,4.2583402739278e-18,"COL6A1/BGN/COL1A1/COL3A1/FOXC2/SNAI2/SERPINH1/FOXD1/PDGFRB/EFEMP1/TIMP1/SELENOM/COL11A1/ZEB1/MSX1/FRZB/MGP/OGN/ID4/COL5A1/CTSK/SULF1/LOX/PRRX1/MDK/SULF2/BMP4/LTBP3/RFLNA/ERRFI1/LOXL2/SLC39A14/SLC26A2/FGFR1/EXT1/SFRP2/BMP5/BMPR2/BMP1/SMAD3/MBOAT2/NFIA/GLG1/SIX2/BMPR1B/NFIB/HMGA2/TWSG1/RASAL2/ACTA2/SLC39A13/PKDCC/GHR/GLI3/COL2A1/FGFR3/TSKU/CHSY1/ADAMTS7/SMAD5/WNT5A/PPARGC1A/BMPR1A/LNPK/MSX2/FGF2/SOX9/PKD1/EBF2/EXT2/THBS3/ADAMTS12/PIK3CA/COL27A1/RUNX2/FGF9/PTH1R/LRP5/PBXIP1/NOG/CREB3L2/TGFBI/ACAT1/WNT5B/RARB/MATN3/DHRS7B/HRAS/SLC25A25/THRA/PDGFD/OSR1/PTHLH/TRIP11/SPART/HYAL2/BBS4/SMAD7/SCX/SOX5/ATF2/EGR1/PITX1/NPR2/PUM2/RARA/RFLNB/GREM1/ASNSD1/BMP2/ECM1/HOXA3/HOXB3/CTNNB1/GPR4/PRKAA1/CSF1/BMP6/ZNF219/FOSL2/ZNF516/MEX3C/ARID5B/FGF18/AXIN2/HOXC4/ACVRL1/OSR2/GDF6/MMP13/MEF2D/TBL1XR1/GDF7/CD2AP/ZBTB16/WNT7B/SMAD1/PPARG/TRPM4/SNX19/EVC/SRF/SOX6/RARG/SHOX2/FTO/WNT11/EDN1/GDF5/HYAL3/DYRK1B/HSD17B1/WNT9A/BBS2/MKKS/HYAL1/GPLD1/HOXA11/COL11A2/LARGE1/WT1/PGRMC2/FKRP/ITGB3/BARX2",165
"GO:0048705","skeletal system morphogenesis","139/5723","233/18805",0.59656652360515,1.96023649771009,9.75498832400678,1.70806209875425e-20,1.0765915408448e-17,8.62121869844908e-18,"TWIST1/COL1A1/COL3A1/FOXC2/SERPINH1/FOXC1/COL11A1/ZEB1/MSX1/MGP/SIX1/PRRX1/BMP4/LTBP3/RFLNA/MMP2/TBX15/SFRP1/FGFR1/EXT1/BMPR2/BMP1/SMAD3/FBN2/EYA1/GLG1/PCGF2/SIX2/SFRP4/INSIG2/BMPR1B/MDFI/SOX11/MMP16/RYK/GHR/GLI3/PLEKHA1/COL2A1/FGFR3/LAMA5/TSKU/MMP14/CHSY1/DHRS3/TGFB3/MSX2/RAB23/HOXB9/SOX9/PKD1/DLX5/ALX4/VEGFA/EXT2/SIX4/THBS3/COL27A1/RUNX2/LRP5/TULP3/NOG/HOXA4/ACVR2B/RARB/THRA/MEGF8/OSR1/TRIP11/HYAL2/RDH10/CYP26B1/SMAD2/SCX/NAB1/NAB2/SOX5/ATF2/IRX5/PDGFRA/NPR2/PRKRA/SLC39A1/MED12/RARA/RFLNB/COL13A1/GREM1/HOXA3/HOXB7/HOXB3/SETD2/CTNNB1/BMP6/WDR19/FOSL2/HAS2/ARID5B/HOXD11/FGF18/AXIN2/IFT140/HOXC4/ZFAND5/SLC39A3/TIPARP/TEK/HOXB2/CSRNP1/OSR2/ALX3/CITED2/MMP13/MEF2D/HOXC9/FREM1/MTHFD1L/SOX6/SPEF2/RARG/SHOX2/TFAP2A/HOXD10/TBX1/FLVCR1/CDX1/HOXC8/NLE1/TCF15/HYAL1/LHX1/HOXA11/HOXD8/HOXB4/HOXC11/HOXB8/HOXA1/BARX2/HOXA2",139
