"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"MIR1302-2HG","OK",NA,NA,-6.50934940727971e-05,"MIR1302-2HG",NA
"FAM138A","FAIL",NA,NA,NA,"FAM138A",1
"OR4F5","OK",0.519911308654072,-0.0499309886889744,-9.11659297017744e-05,"OR4F5",0.605471518153607
"AL627309.1","OK",0.0889380471281589,1.34732341447668,0.00234572901569334,"AL627309.1",0.129957821212312
"AL627309.3","OK",NA,NA,-3.65942134425692e-05,"AL627309.3",NA
"AL627309.2","FAIL",NA,NA,NA,"AL627309.2",1
"AL627309.4","FAIL",NA,NA,NA,"AL627309.4",1
"AL732372.1","OK",0.574852254623151,-0.188741414595293,-0.000347051205830984,"AL732372.1",0.610435186995293
"OR4F29","FAIL",NA,NA,NA,"OR4F29",1
"AC114498.1","FAIL",NA,NA,NA,"AC114498.1",1
"OR4F16","FAIL",NA,NA,NA,"OR4F16",1
"AL669831.2","FAIL",NA,NA,NA,"AL669831.2",1
"AL669831.5","OK",0.000242523030553683,3.48888153477892,0.00661465713429265,"AL669831.5",0.00041343402597972
"FAM87B","OK",0.000416349884824283,3.34169008943396,0.00591061713602672,"FAM87B",0.000701880363622316
"LINC00115","OK",0.103994325272198,1.25911540616228,0.00235135899772907,"LINC00115",0.1510563569879
"FAM41C","OK",0.157389608600151,1.00524432354564,0.00183798557231725,"FAM41C",0.224361637505679
"AL645608.7","FAIL",NA,NA,NA,"AL645608.7",1
"AL645608.3","OK",0.000346048162639636,3.39269111863618,0.00633457023178684,"AL645608.3",0.000585677162928535
"AL645608.5","OK",0.554985536307318,-0.138267604544813,-0.000285797937657049,"AL645608.5",0.605471518153607
"AL645608.1","OK",1.40396668934726e-43,13.793010399416,0.0262760568426103,"AL645608.1",4.17365071018836e-43
"SAMD11","OK",0,46.0951197698924,0.0883716266070906,"SAMD11",0
"NOC2L","OK",4.82492184680807e-06,4.42487434017773,0.00846149426800666,"NOC2L",8.791165250155e-06
"KLHL17","OK",0.0250044420404528,1.95988798651915,0.0036690006681813,"KLHL17",0.0382394106341253
"PLEKHN1","OK",0.100327261413718,1.27968903397798,0.00217597134254728,"PLEKHN1",0.146007445219063
"PERM1","OK",0.0331366613503161,1.83657051966185,0.00306148343193141,"PERM1",0.050197889656594
"AL645608.8","OK",5.39258677456758e-57,15.8666463935123,0.030141760866457,"AL645608.8",1.73153556993313e-56
"HES4","OK",0,87.4918970315994,0.168221935259868,"HES4",0
"ISG15","OK",0,47.7457671809746,0.0914265115115428,"ISG15",0
"AL645608.2","FAIL",NA,NA,NA,"AL645608.2",1
"AGRN","OK",0,59.5247185689653,0.114375158511541,"AGRN",0
"AL645608.9","OK",0.508215550959505,-0.0205947880978997,-6.94669884774717e-05,"AL645608.9",0.605471518153607
"RNF223","OK",0.524138474982937,-0.0605431501188762,-0.000128034903688102,"RNF223",0.605471518153607
"C1orf159","OK",0.00955799272478655,2.34326138675234,0.00443946879633079,"C1orf159",0.015032994173279
"LINC01342","FAIL",NA,NA,NA,"LINC01342",1
"AL390719.2","OK",0.331854005698729,0.434799440051291,0.000495913017879661,"AL390719.2",0.451292801059733
"TTLL10-AS1","OK",NA,NA,-3.67206223520395e-05,"TTLL10-AS1",NA
"TTLL10","OK",0.0685647468967703,1.48656592228158,0.00236297195767432,"TTLL10",0.101214817585944
"TNFRSF18","OK",0,129.635719154174,0.246324758483395,"TNFRSF18",0
"TNFRSF4","OK",0,129.212439881887,0.240324089356193,"TNFRSF4",0
"SDF4","OK",4.50162224927733e-142,25.3499262679063,0.0487074139165796,"SDF4",1.9313683474942e-141
"B3GALT6","OK",2.16755084001226e-07,5.05362156603024,0.00965735443411761,"B3GALT6",4.11441271732428e-07
"C1QTNF12","OK",4.56553491996716e-90,20.0894264672805,0.0382519538743383,"C1QTNF12",1.67949318728389e-89
"AL162741.1","OK",0.548275706496173,-0.121306102010618,-0.000230148391437061,"AL162741.1",0.605471518153607
"UBE2J2","OK",0.00017419727862989,3.57637292129168,0.00683039527934134,"UBE2J2",0.000298898339356365
"LINC01786","OK",0.564898354801329,-0.163400269890818,-0.000313503419972962,"LINC01786",0.607427121838616
"SCNN1D","OK",0.000245052483949887,3.48610697804625,0.00650953289919811,"SCNN1D",0.000417661296263497
"ACAP3","OK",5.69008181053839e-75,18.282630973393,0.0349610953918153,"ACAP3",1.98758594950708e-74
"PUSL1","OK",0.355186714229923,0.371354609711207,0.000668900674970838,"PUSL1",0.480225088176766
"INTS11","OK",0.00238906257900681,2.82162339581936,0.00537932292540644,"INTS11",0.00388382530580107
"CPTP","OK",3.18015487071096e-06,4.51404371632363,0.00861577068414294,"CPTP",5.8310164887714e-06
"TAS1R3","OK",0.603904085497471,-0.263465477225964,-0.000489971971438157,"TAS1R3",0.625659236265627
"DVL1","OK",4.17778348180621e-37,12.6729104718357,0.0243024741869848,"DVL1",1.18613663485478e-36
"MXRA8","OK",0,116.739967807846,0.224273559669226,"MXRA8",0
