"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FN1",0,3.6511199570136,0.942,0.421,0
"COL6A2",0,1.96112701840163,0.755,0.335,0
"IGFBP2",0,2.1489581450437,0.688,0.281,0
"TWIST1",0,2.89302972446627,0.522,0.131,0
"COL6A1",0,1.86780699371636,0.681,0.293,0
"COL1A2",0,2.43430435682614,0.736,0.367,0
"PCOLCE",0,2.08963359864423,0.554,0.2,0
"BGN",0,2.19959528379245,0.5,0.151,0
"FSTL1",0,1.38107838604191,0.637,0.291,0
"COL1A1",0,1.92538919316495,0.792,0.452,0
"DSP",0,1.44896667685081,0.627,0.289,0
"COL3A1",0,3.16293385352399,0.473,0.136,0
"AKAP12",0,0.95184379096279,0.655,0.321,0
"AEBP1",0,1.83119963565233,0.546,0.215,0
"CALD1",0,1.09805456720975,0.872,0.541,0
"IGFBP5",0,1.92162948688779,0.527,0.199,0
"CDH11",0,2.02860390956957,0.485,0.159,0
"SPARC",0,1.10945336021541,0.842,0.517,0
"EFEMP2",0,1.63921038390404,0.51,0.192,0
"FOXC2",0,1.57980999381238,0.503,0.186,0
"SDC2",0,1.11057833506663,0.626,0.311,0
"COL5A2",0,1.4855290432114,0.581,0.267,0
"SNAI2",0,2.41605612412079,0.463,0.153,0
"CAVIN1",0,0.752338392229218,0.712,0.402,0
"MAP1B",0,0.646588605440707,0.714,0.41,0
"TIMP3",0,1.06099117724083,0.507,0.206,0
"SERPINH1",0,1.21404870872629,0.585,0.284,0
"FOXD1",0,1.68602213393008,0.47,0.169,0
"ENAH",0,0.787303381993412,0.701,0.401,0
"SPTBN1",0,0.699062516009882,0.732,0.435,0
"DKK3",0,1.46411655653757,0.523,0.227,0
"TPM2",0,0.847010756609192,0.7,0.405,0
"PPIC",0,1.21190793863381,0.567,0.274,0
"FOXC1",0,1.48858706051578,0.492,0.204,0
"UACA",0,1.12697353646302,0.589,0.301,0
"LAPTM5",0,-2.86078993869985,0.104,0.391,0
"MXRA8",0,1.65681384439993,0.449,0.163,0
"PTPRC",0,-3.54708102081244,0.052,0.337,0
"CCDC80",0,0.982229446460104,0.529,0.244,0
"PPFIBP1",0,0.887132745827653,0.581,0.297,0
"WWTR1",0,0.819404832061058,0.572,0.29,0
"TAGLN",0,1.64956380836938,0.541,0.26,0
"NR2F2",0,1.54636598108723,0.465,0.184,0
"MAGED2",0,0.87532486838374,0.712,0.433,0
"ITM2C",0,1.36735771679477,0.638,0.36,0
"RND3",0,1.10788051042576,0.539,0.263,0
"CTGF",0,1.4228983498014,0.755,0.479,0
"TSC22D1",0,0.988665198874978,0.699,0.424,0
"CYR61",0,1.12163300574196,0.62,0.346,0
"PDGFRB",0,2.05261807426691,0.395,0.121,0
"EFEMP1",0,1.71581677497071,0.49,0.217,0
"RARRES2",0,1.74531591880447,0.458,0.185,0
"MYL9",0,1.05663298975606,0.562,0.291,0
"LAMB2",0,1.30919455768117,0.475,0.204,0
"VCAN",0,0.988675619866706,0.507,0.236,0
"TIMP1",0,1.37394412067409,0.802,0.532,0
"CCND1",0,1.09276397919637,0.649,0.379,0
"LAMA4",0,1.48131322781806,0.415,0.148,0
"HLA-DPA1",0,-3.35289659129718,0.175,0.441,0
"FBN1",0,1.55870018341637,0.457,0.191,0
"SELENOM",0,1.05036152664673,0.638,0.372,0
"MRC2",0,1.38917890476214,0.446,0.181,0
"PLOD2",0,1.98046617346511,0.444,0.182,0
"MXRA7",0,0.927967422778092,0.525,0.263,0
"PMEPA1",0,1.51717082285674,0.636,0.374,0
"PDLIM4",0,0.992454873855081,0.478,0.217,0
"GJA1",0,1.31485762702945,0.493,0.232,0
