"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"AL669831.5","OK",0.000242523030553683,3.48888153477892,0.00661465713429265,"AL669831.5",0.00041343402597972
"FAM87B","OK",0.000416349884824283,3.34169008943396,0.00591061713602672,"FAM87B",0.000701880363622316
"AL645608.3","OK",0.000346048162639636,3.39269111863618,0.00633457023178684,"AL645608.3",0.000585677162928535
"AL645608.1","OK",1.40396668934726e-43,13.793010399416,0.0262760568426103,"AL645608.1",4.17365071018836e-43
"SAMD11","OK",0,46.0951197698924,0.0883716266070906,"SAMD11",0
"NOC2L","OK",4.82492184680807e-06,4.42487434017773,0.00846149426800666,"NOC2L",8.791165250155e-06
"KLHL17","OK",0.0250044420404528,1.95988798651915,0.0036690006681813,"KLHL17",0.0382394106341253
"AL645608.8","OK",5.39258677456758e-57,15.8666463935123,0.030141760866457,"AL645608.8",1.73153556993313e-56
"HES4","OK",0,87.4918970315994,0.168221935259868,"HES4",0
"ISG15","OK",0,47.7457671809746,0.0914265115115428,"ISG15",0
"AGRN","OK",0,59.5247185689653,0.114375158511541,"AGRN",0
"C1orf159","OK",0.00955799272478655,2.34326138675234,0.00443946879633079,"C1orf159",0.015032994173279
"TNFRSF18","OK",0,129.635719154174,0.246324758483395,"TNFRSF18",0
"TNFRSF4","OK",0,129.212439881887,0.240324089356193,"TNFRSF4",0
"SDF4","OK",4.50162224927733e-142,25.3499262679063,0.0487074139165796,"SDF4",1.9313683474942e-141
"B3GALT6","OK",2.16755084001226e-07,5.05362156603024,0.00965735443411761,"B3GALT6",4.11441271732428e-07
"C1QTNF12","OK",4.56553491996716e-90,20.0894264672805,0.0382519538743383,"C1QTNF12",1.67949318728389e-89
"UBE2J2","OK",0.00017419727862989,3.57637292129168,0.00683039527934134,"UBE2J2",0.000298898339356365
"SCNN1D","OK",0.000245052483949887,3.48610697804625,0.00650953289919811,"SCNN1D",0.000417661296263497
"ACAP3","OK",5.69008181053839e-75,18.282630973393,0.0349610953918153,"ACAP3",1.98758594950708e-74
"INTS11","OK",0.00238906257900681,2.82162339581936,0.00537932292540644,"INTS11",0.00388382530580107
"CPTP","OK",3.18015487071096e-06,4.51404371632363,0.00861577068414294,"CPTP",5.8310164887714e-06
"DVL1","OK",4.17778348180621e-37,12.6729104718357,0.0243024741869848,"DVL1",1.18613663485478e-36
"MXRA8","OK",0,116.739967807846,0.224273559669226,"MXRA8",0
"AURKAIP1","OK",4.01881626500791e-160,26.9372902848547,0.0517657185108445,"AURKAIP1",1.78972231052631e-159
"CCNL2","OK",1.56417342264881e-166,27.4790133317663,0.0527592220796219,"CCNL2",7.06062952924173e-166
"MRPL20","OK",2.47913918691497e-113,22.5940536170139,0.0434092382145973,"MRPL20",9.8485708976168e-113
"ANKRD65","OK",0,74.0306121667155,0.141972253315954,"ANKRD65",0
"VWA1","OK",0,274.276233168048,0.527161387280581,"VWA1",0
"ATAD3C","OK",3.27605969512111e-38,12.8710315515152,0.0243606381669337,"ATAD3C",9.38474379761595e-38
"ATAD3B","OK",7.74983440946464e-12,6.74314284337262,0.0129033956081961,"ATAD3B",1.64208411335714e-11
"ATAD3A","OK",4.26790352643142e-18,8.59214836468755,0.0164490415981533,"ATAD3A",1.00043500685604e-17
"SSU72","OK",5.45006559026332e-14,7.42950926640263,0.0142451380327194,"SSU72",1.20198051682717e-13
"AL645728.1","OK",2.94190348805482e-19,8.89420673961758,0.0169367292376881,"AL645728.1",7.0095112316769e-19
"FNDC10","OK",6.91399254749575e-174,28.0877454931822,0.0537962237021487,"FNDC10",3.17150311468931e-173
"AL691432.2","OK",4.20607896668981e-22,9.59474902366452,0.0183246340192764,"AL691432.2",1.03736229387851e-21
"MIB2","OK",1.38830464232817e-10,6.31076422320588,0.0120799424244212,"MIB2",2.86480612480752e-10
"MMP23B","OK",1.03758246261889e-21,9.50118436410661,0.0180705028613619,"MMP23B",2.5495519158483e-21
"CDK11B","OK",3.48503007139908e-32,11.751105933386,0.0225340746997705,"CDK11B",9.52957995006349e-32
"FO704657.1","OK",0.00020241118122906,3.53691993873099,0.006383267563578,"FO704657.1",0.000346342830361801
"SLC35E2B","OK",2.46739250531345e-20,9.1654343227928,0.0175446193907124,"SLC35E2B",5.96061869742485e-20
"CDK11A","OK",3.07267241560538e-113,22.5845704552224,0.0433489501514319,"CDK11A",1.22025808898297e-112
"SLC35E2A","OK",8.91152051771705e-06,4.29055092171176,0.0081808281411948,"SLC35E2A",1.60767095741179e-05
"NADK","OK",2.20060912595339e-23,9.89442739516692,0.0189627620969984,"NADK",5.50611014778451e-23
"GNB1","OK",1.43857959110892e-160,26.9753490099444,0.0518409307099669,"GNB1",6.41784728734362e-160
"CALML6","OK",2.88417637519762e-61,16.4726536517813,0.0289274483549263,"CALML6",9.47459269037288e-61
"CFAP74","OK",3.3354502466113e-50,14.8528136332422,0.0277647925611449,"CFAP74",1.03170154517222e-49
"AL391845.2","OK",9.78930425003904e-09,5.6156840884019,0.00826754039815258,"AL391845.2",1.92772814786316e-08
"GABRD","OK",0,138.172888082272,0.263946037897556,"GABRD",0
"PRKCZ","OK",0,48.6585479947754,0.0932090191506544,"PRKCZ",0
"AL590822.2","OK",0.000290309020174236,3.4405104383291,0.00629222916190316,"AL590822.2",0.000492995294920958
"PRKCZ-AS1","OK",0.00237948112277039,2.82291206485642,0.00523320583962049,"PRKCZ-AS1",0.00386924722150509
"FAAP20","OK",1.53254548057592e-28,11.0198677423157,0.0211457984450832,"FAAP20",4.04538081300625e-28
"SKI","OK",3.18867775651871e-112,22.4809407591818,0.0431727096177831,"SKI",1.26314335267658e-111
"RER1","OK",5.08200069640225e-23,9.81032565215289,0.018823261371192,"RER1",1.2657797386711e-22
"PLCH2","OK",0,140.179905383002,0.268357041884206,"PLCH2",0
"HES5","OK",2.78417395091014e-35,12.3392334645552,0.0230467812085904,"HES5",7.80708517150305e-35
"AL139246.5","OK",8.57835258209318e-45,13.9931794341712,0.0266619861175108,"AL139246.5",2.56678484311777e-44
"TNFRSF14-AS1","OK",2.55620109476308e-10,6.21561497784992,0.0117707760195347,"TNFRSF14-AS1",5.23961980927041e-10
"TNFRSF14","OK",0,50.0657096599182,0.0961681800678945,"TNFRSF14",0
"FAM213B","OK",8.69061430124741e-15,7.66865275003626,0.0146429185046082,"FAM213B",1.94077809938196e-14
"LINC00982","OK",5.0170651880423e-32,11.7202787359635,0.0211009633265976,"LINC00982",1.36950557862025e-31
"PRDM16","OK",2.87835994003956e-142,25.3675345996588,0.0472213872495753,"PRDM16",1.23576802331182e-141
"AL590438.1","OK",4.27415970850175e-91,20.2066953806239,0.0338278127131156,"AL590438.1",1.57922119044994e-90
"ARHGEF16","OK",3.93571269361721e-05,3.94828137855055,0.0074537968729598,"ARHGEF16",6.94313928858591e-05
"MEGF6","OK",5.36164775548102e-06,4.40204975870164,0.00833394856680065,"MEGF6",9.75358641199875e-06
"TPRG1L","OK",7.40519075784181e-06,4.33148979193597,0.0082765764838108,"TPRG1L",1.33947067271016e-05
"WRAP73","OK",0.00107042218957296,3.0699641902038,0.00585033527482168,"WRAP73",0.00177157332307132
"TP73","OK",1.08989826934796e-33,12.0403685378694,0.0223845674627545,"TP73",3.01724061254089e-33
"SMIM1","OK",1.50135488899067e-08,5.54127864008985,0.0104886401703164,"SMIM1",2.94293112465191e-08
"LRRC47","OK",0.00065461115735464,3.21395052155573,0.00613131411372173,"LRRC47",0.00109402790294928
"CEP104","OK",8.77576617796661e-32,11.6728161516339,0.0223729399955392,"CEP104",2.39111406639095e-31
"C1orf174","OK",0.00449441030342114,2.61247903188511,0.00496958695823978,"C1orf174",0.00720237180418547
"AJAP1","OK",4.02838791910915e-236,32.790447145924,0.0627822868425285,"AJAP1",2.05879046814812e-235
"NPHP4","OK",0.0270520253042352,1.92600258871494,0.00363207502185356,"NPHP4",0.0412731281289603
"KCNAB2","OK",0,40.1546600020242,0.0769723980314055,"KCNAB2",0
"RPL22","OK",0,152.10793001435,0.292562151112481,"RPL22",0
"RNF207","OK",4.61429970283686e-205,30.5339789599205,0.0580819583726997,"RNF207",2.23841490203437e-204
"ICMT","OK",2.49171356185617e-23,9.88198803659382,0.0189404281555019,"ICMT",6.23014899713785e-23
"GPR153","OK",1.18913141213897e-66,17.2063839521756,0.0311363109608688,"GPR153",4.00819020785971e-66
"ACOT7","OK",6.58180130819298e-134,24.5983264125595,0.0471993464300634,"ACOT7",2.76133295230214e-133
"AL031848.2","OK",1.0085847112159e-05,4.26298181268904,0.00797913062595832,"AL031848.2",1.81614417994771e-05
"HES2","OK",2.76313143431324e-07,5.00707767978118,0.00928233521715289,"HES2",5.23271907838465e-07
"ESPN","OK",2.49547265598637e-10,6.21938900585017,0.0109683391003492,"ESPN",5.11680499201109e-10
"TNFRSF25","OK",0,40.8970886017107,0.0782500210708186,"TNFRSF25",0
"PLEKHG5","OK",1.72470227873608e-65,17.0507731189942,0.0326134981588173,"PLEKHG5",5.77865819989652e-65
"NOL9","OK",9.56905722993384e-08,5.20752006900513,0.00995415193284595,"NOL9",1.83587803727898e-07
"ZBTB48","OK",0.00154389152509702,2.95886103891143,0.00563290214032669,"ZBTB48",0.00253586144803828
"KLHL21","OK",0,41.5689655132571,0.0796831141799414,"KLHL21",0
"PHF13","OK",4.58002834072891e-06,4.436106443579,0.0084558479346154,"PHF13",8.35704317043673e-06
"THAP3","OK",7.9307535381552e-05,3.77717847634648,0.00720690812052805,"THAP3",0.000138111492111883
"DNAJC11","OK",3.74922273930505e-07,4.94798819657984,0.00945056714308347,"DNAJC11",7.07674916631145e-07
"CAMTA1","OK",8.45713862429209e-92,20.2865229679579,0.0389668671895927,"CAMTA1",3.13255894436306e-91
"AL359881.1","OK",4.88427930193933e-05,3.89626975170527,0.006212054566683,"AL359881.1",8.5829018463945e-05
"VAMP3","OK",9.51584570978723e-104,21.5973262572036,0.0414814473641644,"VAMP3",3.65690512213595e-103
"PER3","OK",4.19354001293075e-88,19.8637152178587,0.0380816093729654,"PER3",1.53436448782018e-87
"UTS2","OK",1.47077606511475e-301,37.0987621194279,0.0708344851784361,"UTS2",8.19822677958477e-301
"TNFRSF9","OK",0,84.9436336189674,0.16246958780598,"TNFRSF9",0
"PARK7","OK",0,52.4811820687812,0.100903080572069,"PARK7",0
"AL034417.4","OK",0.000812026641538189,3.15155184439279,0.00586236353701225,"AL034417.4",0.00135124598560903
"AL034417.3","OK",1.19570058348436e-16,8.20062515785097,0.0154061695068656,"AL034417.3",2.74763687731852e-16
"ERRFI1","OK",0,87.7952363277487,0.168590019874092,"ERRFI1",0
"AL034417.2","OK",5.66433184151963e-12,6.78852387243776,0.0127709908614418,"AL034417.2",1.20373618073808e-11
"SLC45A1","OK",3.63396981206904e-30,11.3517663926155,0.021639161518452,"SLC45A1",9.74548814586787e-30
"RERE","OK",1.43487507634482e-220,31.6806566838437,0.0608643355217904,"RERE",7.14913247170342e-220
"ENO1","OK",0,210.702848071092,0.405243997214958,"ENO1",0
"CA6","OK",4.0174560028075e-19,8.8595346642321,0.0139950190227635,"CA6",9.55501000252557e-19
"SLC2A5","OK",0,162.008704860032,0.310904888731488,"SLC2A5",0
"GPR157","OK",3.18039788571158e-26,10.5288482646001,0.0199647422871501,"GPR157",8.19181576816331e-26
"MIR34AHG","OK",9.21309474925754e-42,13.4879051701849,0.0256589721099117,"MIR34AHG",2.707850585935e-41
"H6PD","OK",4.16200539131597e-36,12.4913396333049,0.0239535856644959,"H6PD",1.17359333139624e-35
"SPSB1","OK",3.94507393843329e-170,27.7784990779438,0.0532354187054309,"SPSB1",1.79428967326145e-169
"BX323043.1","OK",5.16103997351368e-24,10.038510679078,0.0172547750571758,"BX323043.1",1.30128212035997e-23
"SLC25A33","OK",2.46669638379616e-25,10.3342336986101,0.0198040831145082,"SLC25A33",6.3051971453165e-25
"TMEM201","OK",5.00598035226135e-05,3.8903018413877,0.00740081003338869,"TMEM201",8.79124508876886e-05
"PIK3CD","OK",1.3311871437529e-73,18.1098987995074,0.0347122619397594,"PIK3CD",4.62174974455036e-73
"PIK3CD-AS2","OK",3.07810184214094e-18,8.62960904159885,0.0163521200898376,"PIK3CD-AS2",7.22744620708007e-18
"CLSTN1","OK",2.07055669923833e-118,23.1048211019885,0.0443511072435594,"CLSTN1",8.33713293306731e-118
"CTNNBIP1","OK",4.21327163625294e-08,5.35774848441195,0.0102541901210362,"CTNNBIP1",8.16355791093794e-08
"LZIC","OK",3.8875000434506e-05,3.95123171021002,0.00754316824821637,"LZIC",6.8590456457522e-05
"NMNAT1","OK",0.00246015754658358,2.81220488663142,0.00534283739918957,"NMNAT1",0.00399785514274939
